"","Cust_id","Freq","Recency","last_trans","Monetary Value","R_Score","F_Score","M_Score","M_SCORE","Segments"
"234","12628",3,11,"2011-12-05",786.46,5,1,1,1,"Recent Customers"
"237","12633",4,19,"2011-10-12",2163.98,2,2,4,4,"About to Sleep"
"239","12637",7,20,"2011-10-03",5967.9,2,4,5,5,"Loyal Customers"
"242","12640",3,14,"2011-11-16",1174.58,3,1,2,2,"Promising Customers"
"244","12642",3,14,"2011-11-14",1013.26,3,1,2,2,"Promising Customers"
"245","12643",5,29,"2011-08-03",3344.64,1,3,4,4,"About to Sleep"
"247","12645",4,15,"2011-11-06",1775.18,3,2,3,3,"Need Attention"
"249","12647",11,14,"2011-11-17",3722.82,3,5,4,4,"Loyal Customers"
"256","12654",4,12,"2011-11-29",601.98,4,2,1,1,"Promising Customers"
"257","12656",5,13,"2011-11-22",4051.17,4,3,5,5,"About to Sleep"
"258","12657",3,12,"2011-11-28",1152.06,4,1,2,2,"Promising Customers"
"262","12662",10,10,"2011-12-09",3849.78,5,5,5,5,"Champions"
"263","12664",9,12,"2011-12-01",4863.88,4,4,5,5,"Champions"
"267","12668",4,12,"2011-11-28",3807.15,4,2,5,5,"About to Sleep"
"269","12670",5,12,"2011-11-29",2996.05,4,3,4,4,"About to Sleep"
"272","12674",4,16,"2011-11-01",1970.6,2,2,3,3,"Need Attention"
"273","12676",6,14,"2011-11-15",1331.39,3,3,2,2,"Need Attention"
"274","12678",9,16,"2011-10-28",17628.46,2,4,5,5,"Loyal Customers"
"275","12679",4,19,"2011-10-12",1113.02,2,2,2,2,"Need Attention"
"276","12680",4,10,"2011-12-09",862.81,5,2,2,2,"About to Sleep"
"277","12681",20,12,"2011-11-25",13733.54,4,5,5,5,"Champions"
"278","12682",27,11,"2011-12-06",12288.22,5,5,5,5,"Champions"
"279","12683",11,11,"2011-12-05",8476.57,5,5,5,5,"Champions"
"280","12684",7,11,"2011-12-02",2283.63,5,4,4,4,"Champions"
"281","12685",6,14,"2011-11-11",2863.08,3,3,4,4,"About to Sleep"
"286","12691",6,14,"2011-11-11",1035.8,3,3,2,2,"Need Attention"
"287","12693",4,29,"2011-08-04",855.91,1,2,2,2,"Hibernating"
"289","12695",4,11,"2011-12-02",582.1,5,2,1,1,"About to Sleep"
"290","12697",3,14,"2011-11-11",957.59,3,1,2,2,"Promising Customers"
"291","12700",4,11,"2011-12-02",4867.99,5,2,5,5,"About to Sleep"
"295","12704",7,11,"2011-12-02",2220.84,5,4,4,4,"Champions"
"296","12705",8,13,"2011-11-24",6868.29,4,4,5,5,"Champions"
"298","12708",10,15,"2011-11-10",2712.91,3,5,4,4,"Loyal Customers"
"299","12709",15,13,"2011-11-24",9736.52,4,5,5,5,"Champions"
"300","12710",3,24,"2011-09-04",1149.02,1,1,2,2,"Hibernating"
"301","12712",13,14,"2011-11-11",4396.13,3,5,5,5,"Loyal Customers"
"303","12714",5,12,"2011-11-30",4708.86,4,3,5,5,"About to Sleep"
"309","12720",21,11,"2011-12-07",5763.73,5,5,5,5,"Champions"
"310","12721",6,15,"2011-11-08",2656.13,3,3,4,4,"About to Sleep"
"311","12722",4,23,"2011-09-15",997.63,1,2,2,2,"Hibernating"
"312","12723",3,11,"2011-12-06",725.07,5,1,1,1,"Recent Customers"
"313","12724",4,11,"2011-12-04",1031.41,5,2,2,2,"About to Sleep"
"315","12726",7,14,"2011-11-11",2609.1,3,4,4,4,"Loyal Customers"
"316","12727",6,12,"2011-11-29",3962.7,4,3,5,5,"About to Sleep"
"317","12728",4,21,"2011-09-29",836.33,1,2,1,1,"About to Sleep"
"319","12731",11,14,"2011-11-16",18895.91,3,5,5,5,"Loyal Customers"
"329","12744",4,18,"2011-10-14",9120.39,2,2,5,5,"About to Sleep"
"330","12747",11,11,"2011-12-07",4196.01,5,5,5,5,"Champions"
"331","12748",109,10,"2011-12-09",32308.97,5,5,5,5,"Champions"
"332","12749",4,11,"2011-12-06",4090.88,5,2,5,5,"About to Sleep"
"335","12753",5,14,"2011-11-17",21414.09,3,3,5,5,"About to Sleep"
"339","12757",8,13,"2011-11-24",4257.7,4,4,5,5,"Champions"
"341","12759",3,18,"2011-10-18",1531.44,2,1,3,3,"About to Sleep"
"345","12766",7,11,"2011-12-06",6989.63,5,4,5,5,"Champions"
"349","12775",5,13,"2011-11-22",1386.04,4,3,2,2,"About to Sleep"
"350","12778",6,13,"2011-11-20",804.23,4,3,1,1,"About to Sleep"
"351","12779",7,16,"2011-11-02",3956.36,2,4,5,5,"Loyal Customers"
"353","12782",5,11,"2011-12-05",2330.92,5,3,4,4,"About to Sleep"
"354","12783",4,11,"2011-12-07",1603.87,5,2,3,3,"About to Sleep"
"357","12787",3,12,"2011-11-30",463.66,4,1,1,1,"Promising Customers"
"366","12798",3,12,"2011-11-29",6977.04,4,1,5,5,"About to Sleep"
"368","12808",3,16,"2011-11-03",483.65,2,1,1,1,"About to Sleep"
"370","12811",3,48,"2011-03-24",514.85,1,1,1,1,"Lost Customers"
"377","12820",4,11,"2011-12-06",942.34,5,2,2,2,"About to Sleep"
"380","12823",5,21,"2011-09-26",1759.5,1,3,3,3,"About to Sleep"
"382","12826",7,11,"2011-12-07",1474.72,5,4,3,3,"About to Sleep"
"383","12827",3,11,"2011-12-04",430.15,5,1,1,1,"Recent Customers"
"384","12828",6,11,"2011-12-07",1018.71,5,3,2,2,"About to Sleep"
"386","12830",5,16,"2011-11-02",6814.64,2,3,5,5,"About to Sleep"
"391","12836",4,19,"2011-10-11",2612.86,2,2,4,4,"About to Sleep"
"394","12839",14,11,"2011-12-07",5591.42,5,5,5,5,"Champions"
"395","12840",4,31,"2011-07-19",2726.77,1,2,4,4,"About to Sleep"
"396","12841",24,11,"2011-12-05",3876.4,5,5,5,5,"Champions"
"398","12843",8,20,"2011-10-05",1680.76,2,4,3,3,"About to Sleep"
"400","12845",4,49,"2011-03-17",354.09,1,2,1,1,"About to Sleep"
"405","12853",3,30,"2011-07-28",1957.1,1,1,3,3,"About to Sleep"
"406","12854",3,22,"2011-09-22",1289.15,1,1,2,2,"Hibernating"
"408","12856",6,11,"2011-12-02",2175.43,5,3,4,4,"About to Sleep"
"414","12867",7,14,"2011-11-13",3986.22,3,4,5,5,"Loyal Customers"
"415","12868",6,37,"2011-06-07",1607.06,1,3,3,3,"About to Sleep"
"422","12877",12,11,"2011-12-06",1535.77,5,5,3,3,"About to Sleep"
"424","12879",3,17,"2011-10-26",573.22,2,1,1,1,"About to Sleep"
"433","12891",3,37,"2011-06-07",331,1,1,1,1,"Lost Customers"
"437","12901",23,12,"2011-12-01",17348.54,4,5,5,5,"Champions"
"442","12909",4,16,"2011-10-31",2178.67,2,2,4,4,"About to Sleep"
"443","12910",6,14,"2011-11-16",3075.04,3,3,4,4,"About to Sleep"
"444","12912",5,11,"2011-12-07",1662.3,5,3,3,3,"About to Sleep"
"445","12913",5,11,"2011-12-05",2483.63,5,3,4,4,"About to Sleep"
"447","12916",4,30,"2011-07-24",2982.35,1,2,4,4,"About to Sleep"
"449","12919",6,12,"2011-12-01",1335.19,4,3,2,2,"About to Sleep"
"451","12921",23,12,"2011-11-30",16587.09,4,5,5,5,"Champions"
"454","12924",4,23,"2011-09-12",933.7,1,2,2,2,"Hibernating"
"456","12928",5,15,"2011-11-04",2062.7,3,3,3,3,"Need Attention"
"459","12931",12,13,"2011-11-18",41125.36,4,5,5,5,"Champions"
"460","12933",3,14,"2011-11-15",606.28,3,1,1,1,"Promising Customers"
"461","12935",6,11,"2011-12-07",2160.7,5,3,4,4,"About to Sleep"
"462","12936",3,13,"2011-11-22",1012.9,4,1,2,2,"Promising Customers"
"463","12937",4,13,"2011-11-24",1504.27,4,2,3,3,"Potential Customers"
"465","12939",6,20,"2011-10-06",11581.8,2,3,5,5,"About to Sleep"
"467","12942",3,29,"2011-07-31",683.9,1,1,1,1,"Lost Customers"
"471","12947",6,31,"2011-07-19",1603.99,1,3,3,3,"About to Sleep"
"472","12948",7,13,"2011-11-23",2064.95,4,4,3,3,"About to Sleep"
"473","12949",5,15,"2011-11-09",4167.22,3,3,5,5,"About to Sleep"
"474","12950",3,11,"2011-12-07",1843,5,1,3,3,"About to Sleep"
"475","12951",6,12,"2011-12-01",1064.07,4,3,2,2,"About to Sleep"
"476","12952",3,11,"2011-12-04",1387.79,5,1,3,3,"About to Sleep"
"478","12955",11,11,"2011-12-08",4757.16,5,5,5,5,"Champions"
"480","12957",7,12,"2011-11-30",4017.54,4,4,5,5,"Champions"
"482","12963",7,12,"2011-12-01",1856.63,4,4,3,3,"About to Sleep"
"488","12971",70,11,"2011-12-06",10933.76,5,5,5,5,"Champions"
"492","12980",9,33,"2011-07-05",7374.9,1,4,5,5,"About to Sleep"
"499","12989",12,12,"2011-12-01",6862.91,4,5,5,5,"Champions"
"500","12990",3,15,"2011-11-08",409.5,3,1,1,1,"Promising Customers"
"502","12993",4,14,"2011-11-16",414.76,3,2,1,1,"Promising Customers"
"503","12994",3,11,"2011-12-05",974.42,5,1,2,2,"About to Sleep"
"505","12997",4,14,"2011-11-17",1226.89,3,2,2,2,"Need Attention"
"506","12999",3,38,"2011-05-27",455.88,1,1,1,1,"Lost Customers"
"507","13000",3,26,"2011-08-25",534.85,1,1,1,1,"Lost Customers"
"508","13001",13,11,"2011-12-05",9797.92,5,5,5,5,"Champions"
"510","13003",3,25,"2011-08-26",149.05,1,1,1,1,"Lost Customers"
"511","13004",17,12,"2011-11-28",5655.91,4,5,5,5,"Champions"
"516","13012",7,12,"2011-11-30",1646.84,4,4,3,3,"About to Sleep"
"517","13013",12,11,"2011-12-08",4810.94,5,5,5,5,"Champions"
"518","13014",10,12,"2011-11-29",3466.28,4,5,4,4,"Champions"
"519","13015",4,18,"2011-10-17",3346.28,2,2,4,4,"About to Sleep"
"522","13018",20,13,"2011-11-23",7277.7,4,5,5,5,"Champions"
"523","13021",8,11,"2011-12-05",2616.38,5,4,4,4,"Champions"
"525","13026",5,11,"2011-12-08",975.36,5,3,2,2,"About to Sleep"
"526","13027",6,27,"2011-08-18",6912,1,3,5,5,"About to Sleep"
"528","13029",3,15,"2011-11-09",1247.5,3,1,2,2,"Promising Customers"
"534","13037",3,30,"2011-07-24",881.07,1,1,2,2,"Hibernating"
"535","13038",3,22,"2011-09-20",908.46,1,1,2,2,"Hibernating"
"541","13047",7,18,"2011-10-14",3217.54,2,4,4,4,"Loyal Customers"
"542","13048",4,12,"2011-11-25",1835.91,4,2,3,3,"Potential Customers"
"544","13050",17,12,"2011-11-25",5817.06,4,5,5,5,"Champions"
"547","13058",3,14,"2011-11-15",271.4,3,1,1,1,"Promising Customers"
"552","13064",4,12,"2011-11-27",1119.49,4,2,2,2,"Promising Customers"
"557","13069",18,10,"2011-12-09",3888.39,5,5,5,5,"Champions"
"561","13077",3,11,"2011-12-08",729.27,5,1,1,1,"Recent Customers"
"562","13078",25,11,"2011-12-06",12627.94,5,5,5,5,"Champions"
"563","13079",5,11,"2011-12-05",220.1,5,3,1,1,"About to Sleep"
"565","13081",9,12,"2011-11-28",28334.83,4,4,5,5,"Champions"
"566","13082",7,28,"2011-08-05",3613.63,1,4,4,4,"About to Sleep"
"569","13089",65,11,"2011-12-07",58266.18,5,5,5,5,"Champions"
"570","13090",13,12,"2011-12-01",8910.82,4,5,5,5,"Champions"
"572","13092",5,20,"2011-09-30",477.83,2,3,1,1,"About to Sleep"
"573","13093",7,50,"2011-03-09",7832.47,1,4,5,5,"About to Sleep"
"574","13094",12,13,"2011-11-18",1927.32,4,5,3,3,"About to Sleep"
"576","13097",9,15,"2011-11-07",5900.07,3,4,5,5,"Loyal Customers"
"577","13098",26,11,"2011-12-08",28762.95,5,5,5,5,"Champions"
"580","13102",19,11,"2011-12-08",6415.59,5,5,5,5,"Champions"
"582","13104",6,11,"2011-12-06",1098.48,5,3,2,2,"About to Sleep"
"584","13107",4,17,"2011-10-26",1531.62,2,2,3,3,"Need Attention"
"587","13110",6,15,"2011-11-08",1488.67,3,3,3,3,"Need Attention"
"588","13113",22,10,"2011-12-09",10725.05,5,5,5,5,"Champions"
"589","13115",4,12,"2011-11-28",2294.78,4,2,4,4,"Potential Customers"
"591","13117",8,13,"2011-11-18",984.91,4,4,2,2,"About to Sleep"
"592","13118",4,13,"2011-11-20",1125,4,2,2,2,"Promising Customers"
"596","13124",3,23,"2011-09-11",3866.33,1,1,5,5,"Very Valuable"
"597","13126",7,11,"2011-12-05",2099.64,5,4,3,3,"About to Sleep"
"600","13131",3,14,"2011-11-16",1073.3,3,1,2,2,"Promising Customers"
"603","13134",3,23,"2011-09-15",1768.08,1,1,3,3,"About to Sleep"
"605","13136",4,18,"2011-10-14",2607.61,2,2,4,4,"About to Sleep"
"606","13137",8,12,"2011-11-29",3650.41,4,4,4,4,"Champions"
"607","13138",6,14,"2011-11-17",962.39,3,3,2,2,"Need Attention"
"608","13139",6,13,"2011-11-23",5064.94,4,3,5,5,"About to Sleep"
"609","13140",3,26,"2011-08-23",423.72,1,1,1,1,"Lost Customers"
"610","13141",4,22,"2011-09-16",2388.75,1,2,4,4,"About to Sleep"
"613","13145",4,16,"2011-10-31",618.52,2,2,1,1,"About to Sleep"
"615","13147",4,12,"2011-11-29",712.8,4,2,1,1,"Promising Customers"
"616","13148",7,15,"2011-11-10",3547.81,3,4,4,4,"Loyal Customers"
"617","13149",4,12,"2011-11-25",1676.06,4,2,3,3,"Potential Customers"
"621","13155",4,15,"2011-11-06",971.76,3,2,2,2,"Need Attention"
"622","13157",4,17,"2011-10-21",1741.22,2,2,3,3,"Need Attention"
"623","13158",4,24,"2011-09-06",1201.06,1,2,2,2,"Hibernating"
"624","13159",4,12,"2011-12-01",1437.85,4,2,3,3,"Potential Customers"
"627","13162",4,28,"2011-08-09",1688.29,1,2,3,3,"About to Sleep"
"630","13167",4,13,"2011-11-21",791.33,4,2,1,1,"Promising Customers"
"631","13168",4,16,"2011-11-03",1310.14,2,2,2,2,"Need Attention"
"634","13171",3,13,"2011-11-18",468.41,4,1,1,1,"Promising Customers"
"636","13174",3,13,"2011-11-23",2817.03,4,1,4,4,"Potential Customers"
"639","13178",11,14,"2011-11-13",5725.47,3,5,5,5,"Loyal Customers"
"641","13183",9,11,"2011-12-02",3957.78,5,4,5,5,"Champions"
"642","13184",9,12,"2011-11-25",1648.79,4,4,3,3,"About to Sleep"
"644","13186",3,16,"2011-10-31",1575.89,2,1,3,3,"About to Sleep"
"651","13196",3,12,"2011-11-28",1797.78,4,1,3,3,"Potential Customers"
"652","13198",6,12,"2011-11-29",3401.24,4,3,4,4,"About to Sleep"
"653","13199",33,11,"2011-12-06",9817.12,5,5,5,5,"Champions"
"654","13200",4,13,"2011-11-20",870.09,4,2,2,2,"Promising Customers"
"655","13203",4,12,"2011-11-30",869.46,4,2,2,2,"Promising Customers"
"657","13208",5,19,"2011-10-11",1217.42,2,3,2,2,"Need Attention"
"658","13209",6,15,"2011-11-09",5891.61,3,3,5,5,"About to Sleep"
"660","13211",3,12,"2011-11-29",1197.42,4,1,2,2,"Promising Customers"
"662","13213",4,18,"2011-10-14",1520.58,2,2,3,3,"Need Attention"
"666","13220",4,22,"2011-09-22",819.29,1,2,1,1,"About to Sleep"
"670","13225",7,11,"2011-12-06",6463.84,5,4,5,5,"Champions"
"675","13230",13,11,"2011-12-05",2763.41,5,5,4,4,"Champions"
"676","13232",7,12,"2011-11-27",1357.6,4,4,2,2,"About to Sleep"
"680","13238",4,13,"2011-11-22",700.73,4,2,1,1,"Promising Customers"
"682","13240",4,24,"2011-09-04",663.65,1,2,1,1,"About to Sleep"
"687","13246",6,13,"2011-11-21",1922.1,4,3,3,3,"About to Sleep"
"688","13247",4,13,"2011-11-22",501.12,4,2,1,1,"Promising Customers"
"690","13249",3,24,"2011-09-08",711.41,1,1,1,1,"Lost Customers"
"694","13258",3,12,"2011-11-28",698.58,4,1,1,1,"Promising Customers"
"699","13263",33,11,"2011-12-08",7454.07,5,5,5,5,"Champions"
"700","13265",5,18,"2011-10-17",2107.66,2,3,3,3,"Need Attention"
"701","13266",12,12,"2011-11-28",3834.26,4,5,5,5,"Champions"
"702","13267",14,11,"2011-12-07",4507.59,5,5,5,5,"Champions"
"703","13268",9,13,"2011-11-22",3167.64,4,4,4,4,"Champions"
"704","13269",13,11,"2011-12-08",5346.23,5,5,5,5,"Champions"
"710","13277",4,13,"2011-11-24",258.4,4,2,1,1,"Promising Customers"
"713","13280",3,28,"2011-08-09",814.86,1,1,1,1,"Lost Customers"
"714","13282",3,13,"2011-11-21",1132.14,4,1,2,2,"Promising Customers"
"717","13285",4,14,"2011-11-16",2709.12,3,2,4,4,"Potential Customers"
"723","13297",3,11,"2011-12-02",2089.85,5,1,3,3,"About to Sleep"
"727","13301",4,25,"2011-08-28",618.09,1,2,1,1,"About to Sleep"
"730","13305",10,11,"2011-12-05",2000.86,5,5,3,3,"About to Sleep"
"732","13308",3,14,"2011-11-17",1385.51,3,1,2,2,"Promising Customers"
"733","13309",5,11,"2011-12-02",1456.79,5,3,3,3,"About to Sleep"
"734","13310",3,14,"2011-11-11",1132.03,3,1,2,2,"Promising Customers"
"736","13313",5,14,"2011-11-17",1555.32,3,3,3,3,"Need Attention"
"737","13314",3,11,"2011-12-08",775.94,5,1,1,1,"Recent Customers"
"738","13316",4,16,"2011-11-02",5977.73,2,2,5,5,"About to Sleep"
"739","13317",4,20,"2011-10-04",2273.68,2,2,4,4,"About to Sleep"
"740","13318",3,11,"2011-12-08",640.76,5,1,1,1,"Recent Customers"
"741","13319",17,11,"2011-12-04",10845.55,5,5,5,5,"Champions"
"742","13320",3,22,"2011-09-22",1548.7,1,1,3,3,"About to Sleep"
"745","13323",5,11,"2011-12-06",787.85,5,3,1,1,"About to Sleep"
"746","13324",6,16,"2011-11-03",7121.95,2,3,5,5,"About to Sleep"
"748","13327",7,16,"2011-11-01",3627.77,2,4,4,4,"Loyal Customers"
"751","13330",3,24,"2011-09-08",1140.93,1,1,2,2,"Hibernating"
"753","13334",3,22,"2011-09-18",3536.82,1,1,4,4,"Very Valuable"
"757","13340",5,17,"2011-10-25",10736.48,2,3,5,5,"About to Sleep"
"774","13362",4,12,"2011-11-30",3090.74,4,2,4,4,"Potential Customers"
"783","13373",3,19,"2011-10-10",3312.25,2,1,4,4,"About to Sleep"
"785","13376",3,25,"2011-09-01",1019.76,1,1,2,2,"Hibernating"
"786","13379",3,14,"2011-11-13",572.56,3,1,1,1,"Promising Customers"
"787","13381",6,15,"2011-11-08",3639.31,3,3,4,4,"About to Sleep"
"789","13384",6,15,"2011-11-09",4151.93,3,3,5,5,"About to Sleep"
"792","13389",3,12,"2011-11-28",797.96,4,1,1,1,"Promising Customers"
"795","13394",8,11,"2011-12-08",2520.02,5,4,4,4,"Champions"
"798","13397",5,21,"2011-09-28",1544.13,1,3,3,3,"About to Sleep"
"803","13405",3,21,"2011-09-26",572.451,1,1,1,1,"Lost Customers"
"804","13408",41,11,"2011-12-08",28026.66,5,5,5,5,"Champions"
"805","13410",5,14,"2011-11-15",1003.06,3,3,2,2,"Need Attention"
"807","13414",3,29,"2011-07-29",1390.5,1,1,3,3,"About to Sleep"
"810","13418",13,12,"2011-11-28",6127.43,4,5,5,5,"Champions"
"815","13425",3,26,"2011-08-23",1624.21,1,1,3,3,"About to Sleep"
"816","13426",10,10,"2011-12-09",3641.32,5,5,4,4,"Champions"
"817","13427",3,13,"2011-11-20",582.6,4,1,1,1,"Promising Customers"
"819","13429",4,12,"2011-11-29",1006.8,4,2,2,2,"Promising Customers"
"823","13435",7,11,"2011-12-04",3805.74,5,4,5,5,"Champions"
"825","13437",7,12,"2011-11-25",3408.06,4,4,4,4,"Champions"
"828","13447",3,14,"2011-11-16",1129.14,3,1,2,2,"Promising Customers"
"829","13448",5,13,"2011-11-23",3514.17,4,3,4,4,"About to Sleep"
"831","13450",6,14,"2011-11-13",2043.72,3,3,3,3,"Need Attention"
"832","13451",5,14,"2011-11-13",2916.45,3,3,4,4,"About to Sleep"
"836","13456",6,13,"2011-11-22",1766.72,4,3,3,3,"About to Sleep"
"837","13458",14,11,"2011-12-02",9646.57,5,5,5,5,"Champions"
"839","13461",3,16,"2011-11-01",1445,2,1,3,3,"About to Sleep"
"844","13468",36,11,"2011-12-08",5704.97,5,5,5,5,"Champions"
